icecream_flavor,icecream_price,icecream_rating,customer_id,shop_city
cookies and cream,6.96,4,C9360,Barueri
chocolate,7.7,2,A1252,Barueri
strawberry,8.14,4,D6107,São Paulo
mint chocolate chips,5.58,2,A8641,Ribeirão Pires
cookies and cream,4.66,3,A8639,São Paulo
strawberry,7.75,2,B5052,Ribeirão Pires
chocolate,3.68,4,A3078,São Paulo
chocolate,3.73,2,A8641,Campinas
pistachio,5.92,2,C2318,São Paulo
pistachio,7.29,2,C3529,Campinas
chocolate,5.26,3,C2318,Barueri
mint chocolate chips,2.3,1,B2148,São Paulo
mint chocolate chips,4.02,1,D6895,Barueri
cookies and cream,3.48,1,D3516,Ribeirão Pires
strawberry,9.32,2,A2464,São Paulo
chocolate,6.51,3,C1904,Barueri
pistachio,5.23,3,D8176,Ribeirão Pires
pistachio,4.82,4,A1252,Barueri
cookies and cream,2.13,1,B2164,São Paulo
vanilla,7.09,1,B5052,Ribeirão Pires
strawberry,7.86,3,C9360,São Paulo
vanilla,9.91,4,D8176,Ribeirão Pires
chocolate,4.35,4,B8212,Barueri
cookies and cream,1.61,3,C9360,São Paulo
mint chocolate chips,6.51,3,A3907,Campinas
cookies and cream,9.91,4,B5052,Ribeirão Pires
chocolate,2.65,3,C6250,Barueri
cookies and cream,5.62,2,A1234,Ribeirão Pires
chocolate,7.62,2,A3907,Ribeirão Pires
vanilla,8.12,4,A5289,Ribeirão Pires
vanilla,2.21,3,A3078,Ribeirão Pires
vanilla,5.68,3,A3907,São Paulo
cookies and cream,3.76,2,B4252,Campinas
mint chocolate chips,9.01,1,B2148,Barueri
mint chocolate chips,1.57,2,B6646,Campinas
vanilla,6.63,1,D6506,Barueri
pistachio,9.34,3,A3907,Ribeirão Pires
cookies and cream,8.3,2,A2464,Campinas
vanilla,2.6,2,C7950,Campinas
pistachio,3.12,3,B4383,Campinas
strawberry,1.31,2,B2148,Barueri
pistachio,6.63,2,A1234,São Paulo
mint chocolate chips,1.91,2,C2949,São Paulo
chocolate,8.99,3,C4371,Campinas
mint chocolate chips,5.98,2,A9787,Campinas
chocolate,3.5,4,A2464,São Paulo
cookies and cream,2.95,3,B5004,Barueri
vanilla,1.3,3,D6506,Campinas
cookies and cream,4.47,1,B8212,Campinas
chocolate,6.97,2,B2164,São Paulo
strawberry,2.23,2,D6506,Ribeirão Pires
cookies and cream,5.85,4,A5346,Barueri
chocolate,7.98,1,D9444,São Paulo
pistachio,1.09,4,B4252,São Paulo
mint chocolate chips,5.06,3,C4371,São Paulo
chocolate,8.4,2,D3516,Campinas
chocolate,1.86,2,D3516,São Paulo
chocolate,8.38,2,D9444,São Paulo
mint chocolate chips,1.77,4,A1252,Barueri
mint chocolate chips,5.39,4,B5004,Ribeirão Pires
mint chocolate chips,8.47,4,C6739,Ribeirão Pires
chocolate,8.31,4,A5346,São Paulo
chocolate,6.07,4,B5911,Campinas
vanilla,4.73,1,D9444,Ribeirão Pires
pistachio,8.93,4,B6646,Barueri
chocolate,7.77,2,D9444,Barueri
chocolate,1.38,2,D2572,Ribeirão Pires
chocolate,6.96,1,B3946,Barueri
mint chocolate chips,2.6,2,C3529,São Paulo
strawberry,9.34,1,B5911,Campinas
mint chocolate chips,8.18,1,C1904,Campinas
cookies and cream,5.14,2,A1234,São Paulo
pistachio,5.99,2,B5004,Ribeirão Pires
vanilla,9.07,2,A5289,Ribeirão Pires
mint chocolate chips,8.47,3,D7337,Ribeirão Pires
mint chocolate chips,5.73,1,C1904,Ribeirão Pires
strawberry,4.62,2,B8212,Campinas
vanilla,8.38,4,C3529,Ribeirão Pires
pistachio,3.24,4,C6739,Ribeirão Pires
strawberry,2.81,4,A9787,Ribeirão Pires
cookies and cream,9.75,1,B4252,São Paulo
chocolate,4.16,4,A5346,Barueri
strawberry,7.02,3,A1234,São Paulo
strawberry,8.15,1,B4252,Ribeirão Pires
chocolate,4.71,2,D3516,Campinas
vanilla,3.49,3,D1025,Barueri
chocolate,3.03,1,C9360,Campinas
mint chocolate chips,1.11,1,D6895,Campinas
mint chocolate chips,8.47,4,C7950,São Paulo
mint chocolate chips,3.86,2,A1252,Campinas
cookies and cream,5.58,4,B5052,São Paulo
chocolate,5.19,1,C6505,São Paulo
cookies and cream,8.98,1,B2164,Ribeirão Pires
strawberry,1.31,4,A2464,Ribeirão Pires
mint chocolate chips,6.72,1,D6506,Ribeirão Pires
vanilla,7.94,2,D8176,São Paulo
strawberry,7.56,1,D6107,Campinas
pistachio,4.91,1,C6505,Campinas
mint chocolate chips,4.0,3,A1252,Campinas
vanilla,3.87,1,A5289,Campinas
mint chocolate chips,1.23,4,C9360,São Paulo
strawberry,4.08,1,C2318,Campinas
pistachio,1.13,1,B4252,Campinas
pistachio,5.58,4,C1904,São Paulo
mint chocolate chips,9.33,3,C6505,Ribeirão Pires
chocolate,2.34,2,B3946,Barueri
pistachio,7.09,1,A8641,Campinas
vanilla,1.81,1,C4371,Ribeirão Pires
pistachio,8.05,3,B6646,Campinas
strawberry,5.51,3,D8176,Ribeirão Pires
cookies and cream,3.91,3,C6250,Ribeirão Pires
mint chocolate chips,9.82,3,B5004,Ribeirão Pires
cookies and cream,1.33,2,C2318,Ribeirão Pires
cookies and cream,8.91,2,A8641,Ribeirão Pires
vanilla,9.43,3,B2164,Ribeirão Pires
pistachio,2.65,2,B2164,São Paulo
strawberry,7.47,3,B3946,Campinas
chocolate,6.93,1,B8212,São Paulo
vanilla,9.88,2,C9360,Campinas
vanilla,6.07,1,B2148,Campinas
mint chocolate chips,8.85,4,C1904,Campinas
chocolate,5.95,3,A5346,São Paulo
vanilla,9.76,3,A3078,Campinas
pistachio,5.47,4,A3907,Campinas
vanilla,7.4,4,A1252,Ribeirão Pires
vanilla,8.51,3,B3946,São Paulo
chocolate,8.59,4,B4252,São Paulo
strawberry,9.34,4,D5888,São Paulo
vanilla,5.86,4,A3078,Ribeirão Pires
vanilla,1.27,1,B2164,São Paulo
mint chocolate chips,9.58,4,C9360,Barueri
pistachio,4.02,3,B8212,Ribeirão Pires
pistachio,5.72,2,B6646,Ribeirão Pires
strawberry,2.42,3,B6646,Barueri
strawberry,4.02,3,B5911,Barueri
strawberry,8.77,4,D6895,Ribeirão Pires
chocolate,3.28,1,D6895,Campinas
cookies and cream,8.75,2,A9787,São Paulo
vanilla,5.47,3,B4252,Ribeirão Pires
chocolate,6.98,2,A3907,Ribeirão Pires
strawberry,4.3,4,C4371,Campinas
mint chocolate chips,1.18,2,D6506,São Paulo
chocolate,7.04,1,B6646,Ribeirão Pires
strawberry,3.65,2,D9444,Barueri
strawberry,2.92,4,A8639,Ribeirão Pires
pistachio,9.17,2,D1025,Campinas
vanilla,9.87,4,D5888,Ribeirão Pires
strawberry,3.26,2,D8176,São Paulo
cookies and cream,2.24,1,A3078,Campinas
strawberry,6.2,2,B4252,Barueri
mint chocolate chips,4.91,1,A1252,Barueri
pistachio,9.56,3,C9360,Ribeirão Pires
strawberry,1.95,3,B5911,Barueri
vanilla,8.23,3,D7337,Campinas
strawberry,3.12,3,B5052,São Paulo
mint chocolate chips,5.57,4,D6895,Ribeirão Pires
cookies and cream,6.66,4,C2318,São Paulo
chocolate,9.82,1,D1025,São Paulo
pistachio,3.91,3,D5888,Barueri
chocolate,9.29,4,C7950,Ribeirão Pires
chocolate,1.1,1,C9360,Barueri
pistachio,3.67,1,D1025,Barueri
mint chocolate chips,8.73,2,B2164,Ribeirão Pires
mint chocolate chips,6.85,4,A3078,Ribeirão Pires
cookies and cream,9.53,3,D9444,Barueri
vanilla,8.29,4,C6250,Campinas
cookies and cream,5.23,3,D7337,São Paulo
mint chocolate chips,6.27,4,C2949,Campinas
pistachio,4.88,1,C9360,Campinas
cookies and cream,2.69,4,A8641,Barueri
chocolate,7.32,3,B4252,São Paulo
cookies and cream,9.71,3,D6107,Barueri
chocolate,2.49,3,D1025,Barueri
vanilla,1.2,3,C2318,Campinas
cookies and cream,7.03,4,C3529,Campinas
pistachio,3.44,3,C6505,São Paulo
pistachio,4.21,2,D7337,São Paulo
strawberry,9.75,1,D2572,Ribeirão Pires
pistachio,5.78,4,D2572,Barueri
vanilla,9.48,3,B8212,Campinas
pistachio,6.19,1,C6739,Campinas
mint chocolate chips,4.48,1,D2572,Campinas
vanilla,9.13,2,B8212,Campinas
pistachio,2.33,1,C7950,Barueri
cookies and cream,5.7,4,C6505,São Paulo
vanilla,6.99,4,B3946,Campinas
chocolate,9.27,3,B2148,Barueri
vanilla,2.51,1,C9360,Barueri
vanilla,9.78,3,D5888,Barueri
strawberry,5.0,4,C2949,São Paulo
mint chocolate chips,4.15,1,D3516,São Paulo
chocolate,9.71,2,D1025,Campinas
chocolate,3.01,4,D3516,Campinas
chocolate,9.79,1,D3516,Campinas
vanilla,2.32,4,B5052,Barueri
vanilla,6.46,3,D8176,São Paulo
mint chocolate chips,7.98,3,D9444,São Paulo
cookies and cream,1.74,3,B3946,São Paulo
vanilla,1.07,3,D3516,Barueri
strawberry,9.22,3,D5888,Campinas
chocolate,3.83,1,D6895,São Paulo
cookies and cream,1.15,3,B5052,Barueri
cookies and cream,5.8,2,D7337,Campinas
strawberry,9.63,4,D8176,Ribeirão Pires
chocolate,7.57,2,B5004,Ribeirão Pires
pistachio,4.01,2,D9444,Barueri
chocolate,5.22,4,C4371,Ribeirão Pires
chocolate,8.32,3,C6250,Ribeirão Pires
pistachio,9.76,4,A1234,Campinas
mint chocolate chips,6.5,3,C2318,Ribeirão Pires
cookies and cream,9.85,3,D8176,Barueri
chocolate,4.75,3,A2464,Ribeirão Pires
mint chocolate chips,2.6,3,B6646,Barueri
cookies and cream,7.54,3,B6646,Barueri
vanilla,1.66,1,A8639,São Paulo
vanilla,3.43,2,A5346,Campinas
mint chocolate chips,9.34,4,C6739,São Paulo
vanilla,5.64,4,A9787,Ribeirão Pires
cookies and cream,4.42,4,B2148,Barueri
chocolate,2.04,3,C2318,Campinas
cookies and cream,4.31,2,A2464,Barueri
strawberry,5.63,4,A8639,São Paulo
pistachio,4.88,2,B6646,Campinas
cookies and cream,8.47,1,C2949,Ribeirão Pires
vanilla,9.09,1,B5052,São Paulo
cookies and cream,6.71,3,A1252,Campinas
strawberry,1.25,2,B4383,Barueri
vanilla,4.36,3,C4371,Ribeirão Pires
mint chocolate chips,5.32,3,A5289,São Paulo
chocolate,7.77,1,C2949,Campinas
mint chocolate chips,1.65,3,C7950,Barueri
vanilla,1.26,3,D8176,Barueri
pistachio,9.64,1,C6739,São Paulo
mint chocolate chips,7.25,1,D8176,Ribeirão Pires
mint chocolate chips,8.73,4,D7337,Campinas
mint chocolate chips,6.08,2,B5052,Ribeirão Pires
cookies and cream,3.82,4,A1252,Campinas
vanilla,1.91,1,C4371,São Paulo
cookies and cream,9.32,2,A8641,Ribeirão Pires
mint chocolate chips,8.92,2,A2464,Ribeirão Pires
pistachio,7.9,1,A5346,Ribeirão Pires
pistachio,7.29,3,C6505,Ribeirão Pires
pistachio,9.25,3,B5052,São Paulo
strawberry,7.16,1,C6505,Barueri
mint chocolate chips,4.35,2,A2464,Campinas
chocolate,5.46,1,B6646,Campinas
vanilla,2.76,2,C6250,Barueri
chocolate,8.42,2,B2148,Barueri
strawberry,3.68,3,C2949,Campinas
strawberry,5.67,2,A5346,Barueri
mint chocolate chips,4.24,4,C1904,Campinas
vanilla,5.18,2,D6107,Campinas
cookies and cream,8.8,2,D6107,Campinas
strawberry,5.84,1,D5888,Ribeirão Pires
mint chocolate chips,2.64,1,A3907,Ribeirão Pires
pistachio,6.5,1,C1904,Barueri
pistachio,9.59,2,B4383,Campinas
vanilla,7.79,4,D5888,São Paulo
chocolate,5.94,2,B5052,São Paulo
chocolate,4.13,3,A1234,Ribeirão Pires
mint chocolate chips,5.08,4,D5888,Barueri
mint chocolate chips,7.71,4,B8212,São Paulo
vanilla,3.45,3,B2148,Campinas
mint chocolate chips,7.51,4,B5052,Ribeirão Pires
cookies and cream,4.74,1,B4252,Campinas
mint chocolate chips,6.92,2,D9444,Campinas
cookies and cream,4.12,3,B2164,Ribeirão Pires
cookies and cream,4.09,3,A3078,Ribeirão Pires
chocolate,3.79,2,C2318,Barueri
cookies and cream,6.3,3,C3529,Ribeirão Pires
chocolate,4.63,3,D7337,São Paulo
vanilla,2.49,2,C2949,Ribeirão Pires
chocolate,4.71,4,A2464,São Paulo
vanilla,2.92,1,C9360,Barueri
strawberry,7.99,4,B4383,Barueri
cookies and cream,8.54,3,D6506,Ribeirão Pires
strawberry,1.1,2,A3907,Campinas
chocolate,3.08,3,B4252,Campinas
strawberry,6.16,3,A8639,Barueri
cookies and cream,8.45,2,B4252,Campinas
chocolate,1.69,3,C7950,Campinas
strawberry,9.32,2,D8176,Campinas
chocolate,5.35,4,B6646,Ribeirão Pires
strawberry,2.2,4,C2949,Campinas
vanilla,6.43,3,B6646,Ribeirão Pires
mint chocolate chips,5.58,2,A3078,Barueri
chocolate,8.18,3,A8641,Barueri
mint chocolate chips,4.11,3,A3907,São Paulo
pistachio,6.84,2,C6250,Barueri
cookies and cream,1.37,1,C6505,Ribeirão Pires
strawberry,9.7,1,D9444,Campinas
chocolate,9.96,1,A3907,Ribeirão Pires
chocolate,5.2,4,B5004,Campinas
cookies and cream,2.91,3,C6250,São Paulo
strawberry,6.63,3,A8641,Campinas
strawberry,2.99,1,C3529,Campinas
pistachio,9.07,1,D9444,Campinas
chocolate,7.57,1,D6895,São Paulo
pistachio,4.83,4,D9444,Barueri
cookies and cream,9.01,2,C6739,São Paulo
mint chocolate chips,1.55,1,A5289,São Paulo
mint chocolate chips,8.73,4,D6506,Ribeirão Pires
cookies and cream,7.8,4,B2164,Campinas
strawberry,4.41,2,B5004,Barueri
strawberry,4.58,2,B6646,Campinas
mint chocolate chips,3.76,2,B5052,Campinas
chocolate,5.67,4,C6739,Ribeirão Pires
cookies and cream,1.17,1,D7337,Campinas
pistachio,3.52,2,A9787,Campinas
mint chocolate chips,7.14,4,D9444,São Paulo
chocolate,9.22,2,C7950,Ribeirão Pires
cookies and cream,3.59,3,A2464,São Paulo
chocolate,5.32,2,C7950,São Paulo
mint chocolate chips,2.47,1,B6646,São Paulo
chocolate,9.67,3,A3078,Ribeirão Pires
mint chocolate chips,2.24,4,B4252,Campinas
pistachio,9.96,3,C1904,Ribeirão Pires
chocolate,6.45,1,C2949,Barueri
chocolate,6.62,4,D6895,Ribeirão Pires
chocolate,8.95,2,B2164,Barueri
pistachio,2.62,1,B4383,São Paulo
mint chocolate chips,7.12,3,D6895,Barueri
pistachio,9.04,2,B4383,Ribeirão Pires
pistachio,4.38,3,B5052,Campinas
vanilla,8.79,1,B8212,Campinas
vanilla,6.96,3,A5346,Campinas
strawberry,6.71,3,B5004,Campinas
pistachio,6.05,3,C2949,Ribeirão Pires
vanilla,1.86,2,C6505,Campinas
pistachio,2.29,3,C9360,Campinas
cookies and cream,8.84,3,A3907,São Paulo
strawberry,9.81,4,C7950,Ribeirão Pires
pistachio,1.53,3,B6646,Ribeirão Pires
cookies and cream,2.84,3,A8641,Ribeirão Pires
chocolate,8.33,1,C2949,Campinas
vanilla,4.87,2,A8639,Barueri
strawberry,9.54,4,A8639,São Paulo
mint chocolate chips,1.54,4,D6895,Campinas
cookies and cream,5.73,3,B2148,São Paulo
mint chocolate chips,8.31,3,C7950,São Paulo
pistachio,7.58,4,D8176,São Paulo
pistachio,2.62,2,B6646,Barueri
strawberry,8.44,3,A3907,Barueri
pistachio,1.17,3,D2572,Barueri
strawberry,8.45,3,B4383,Ribeirão Pires
pistachio,7.01,1,C1904,Barueri
cookies and cream,6.34,4,D6506,São Paulo
cookies and cream,2.79,1,D6107,Barueri
pistachio,2.25,2,D1025,São Paulo
mint chocolate chips,7.89,3,C2949,Ribeirão Pires
chocolate,4.21,3,B5911,São Paulo
pistachio,5.31,3,A5346,Ribeirão Pires
vanilla,7.85,2,A8639,Campinas
mint chocolate chips,4.86,4,D1025,São Paulo
cookies and cream,7.78,1,A2464,Ribeirão Pires
mint chocolate chips,1.07,3,B5004,Ribeirão Pires
vanilla,9.77,1,B5911,Ribeirão Pires
strawberry,6.67,3,C9360,Barueri
chocolate,5.71,4,A8639,Ribeirão Pires
chocolate,7.19,4,D1025,São Paulo
pistachio,1.76,4,C4371,Campinas
cookies and cream,8.78,2,C6505,Barueri
strawberry,4.76,4,D5888,São Paulo
mint chocolate chips,5.43,1,D6895,Barueri
cookies and cream,1.82,2,D3516,Ribeirão Pires
pistachio,7.83,2,A8641,Barueri
chocolate,4.97,2,C6250,Ribeirão Pires
vanilla,1.34,2,C6505,São Paulo
cookies and cream,5.22,1,A1234,Campinas
mint chocolate chips,5.71,1,B4252,São Paulo
cookies and cream,8.02,4,A1234,Ribeirão Pires
pistachio,8.17,1,D5888,Ribeirão Pires
vanilla,2.01,1,A9787,São Paulo
cookies and cream,4.73,1,C7950,Ribeirão Pires
pistachio,4.67,2,B4383,Barueri
pistachio,4.37,4,B2164,Ribeirão Pires
vanilla,7.82,4,B5004,São Paulo
strawberry,7.48,3,A5346,São Paulo
vanilla,6.93,3,A2464,Barueri
cookies and cream,5.25,1,B5052,Barueri
pistachio,7.73,4,B5004,São Paulo
pistachio,1.04,1,A9787,Ribeirão Pires
chocolate,1.54,4,C9360,Barueri
vanilla,4.6,1,D7337,Campinas
pistachio,4.42,4,D7337,São Paulo
mint chocolate chips,9.32,2,A8641,São Paulo
vanilla,7.38,2,B2164,Barueri
chocolate,8.0,4,A9787,São Paulo
vanilla,3.58,2,D6506,Barueri
vanilla,1.94,1,B4383,Campinas
chocolate,9.79,1,C4371,São Paulo
pistachio,2.26,3,D9444,Campinas
strawberry,1.5,4,A1252,São Paulo
vanilla,4.38,3,B5004,Campinas
cookies and cream,1.03,3,B5004,São Paulo
vanilla,1.02,2,C6505,Ribeirão Pires
vanilla,9.14,4,D5888,Campinas
chocolate,2.25,4,D2572,Ribeirão Pires
vanilla,9.57,1,D5888,São Paulo
cookies and cream,2.43,4,C6739,Campinas
chocolate,5.25,4,A5346,São Paulo
chocolate,5.47,4,A3907,Ribeirão Pires
vanilla,9.17,3,A5289,Ribeirão Pires
strawberry,7.08,1,C6250,São Paulo
chocolate,2.62,1,D6506,Barueri
strawberry,1.33,1,B2148,Campinas
vanilla,1.47,4,B4383,Barueri
cookies and cream,4.5,4,A8639,São Paulo
chocolate,2.6,3,D9444,Barueri
cookies and cream,2.89,4,D1025,São Paulo
chocolate,3.98,4,B6646,São Paulo
chocolate,8.96,3,A5289,Campinas
strawberry,1.72,3,C2318,Campinas
strawberry,4.86,2,C9360,Barueri
strawberry,1.73,3,B6646,São Paulo
vanilla,1.43,3,A5346,Campinas
cookies and cream,3.4,3,B8212,Barueri
vanilla,9.65,4,C4371,Ribeirão Pires
pistachio,2.22,2,B5911,Barueri
pistachio,5.41,1,A8639,São Paulo
pistachio,5.92,2,C6505,Ribeirão Pires
strawberry,3.15,1,A1234,Barueri
mint chocolate chips,5.2,2,A1234,São Paulo
vanilla,7.38,1,A1252,São Paulo
cookies and cream,5.18,2,B2148,Campinas
strawberry,2.75,1,A5346,São Paulo
chocolate,3.76,3,A1234,Ribeirão Pires
chocolate,1.16,4,C4371,São Paulo
strawberry,2.69,1,C6739,Barueri
chocolate,5.76,1,A1252,São Paulo
mint chocolate chips,1.2,3,B5052,São Paulo
strawberry,1.75,3,C2949,Campinas
pistachio,8.2,1,B3946,Barueri
strawberry,2.01,1,C1904,São Paulo
mint chocolate chips,1.55,3,B4383,São Paulo
mint chocolate chips,2.3,2,C6739,Campinas
pistachio,9.13,4,D1025,São Paulo
vanilla,5.31,4,C2318,Campinas
mint chocolate chips,3.72,2,C4371,Campinas
